,mean,std
CXR760_IM-2310,0.2857142857142857,0.0
CXR3814_IM-1923,1.0,0.0
CXR3224_IM-1524,1.0,0.0
CXR929_IM-2427,0.6,0.0
CXR1697_IM-0458,0.8,0.0
CXR2200_IM-0811,0.5,0.0
CXR3594_IM-1772,0.6666666666666666,0.0
CXR2579_IM-1078,1.0,0.0
CXR3836_IM-1939,0.8,0.0
CXR3428_IM-1657,0.42857142857142855,0.0
CXR1226_IM-0150,0.8333333333333334,0.0
CXR419_IM-2062,0.6666666666666666,0.0
CXR3196_IM-1507,1.0,0.0
CXR3976_IM-2035,0.8,0.0
CXR3081_IM-1440,0.8,0.0
CXR1302_IM-0198,0.42857142857142855,0.0
CXR3639_IM-1804,1.0,0.0
CXR1249_IM-0169,0.8,0.0
CXR190_IM-0583,0.6,0.0
CXR2151_IM-0771,0.3333333333333333,0.0
CXR1920_IM-0598,0.8333333333333334,0.0
CXR3112_IM-1461,0.5,0.0
CXR2291_IM-0874,0.6666666666666666,0.0
CXR1610_IM-0395,0.6,0.0
CXR1017_IM-0013,0.3333333333333333,0.0
CXR1234_IM-0157,0.125,0.0
CXR3785_IM-1898,0.8,0.0
CXR510_IM-2126,0.6666666666666666,0.0
CXR1972_IM-0633,0.75,0.0
CXR1515_IM-0333,0.8,0.0
CXR3123_IM-1468,0.125,0.0
CXR679_IM-2251,0.6666666666666666,0.0
CXR1851_IM-0553,1.0,0.0
CXR3204_IM-1513,0.3333333333333333,0.0
CXR264_IM-1125,0.8,0.0
CXR2491_IM-1017,0.6666666666666666,0.0
CXR94_IM-2436,1.0,0.0
CXR2148_IM-0767,0.6,0.0
CXR278_IM-1218,0.8,0.0
CXR1485_IM-0313,0.2222222222222222,0.0
CXR164_IM-0419,0.8,0.0
CXR2773_IM-1214,0.8,0.0
CXR460_IM-2090,0.75,0.0
CXR3898_IM-1978,1.0,0.0
CXR1409_IM-0260,1.0,0.0
CXR2078_IM-0710,0.6,0.0
CXR1236_IM-0158,0.8,0.0
CXR3798_IM-1911,0.75,0.0
CXR3997_IM-2048,0.75,0.0
CXR2478_IM-1007,0.2857142857142857,0.0
CXR1413_IM-0263,0.6666666666666666,0.0
CXR3379_IM-1627,0.6,0.0
CXR3442_IM-1667,0.75,0.0
CXR1034_IM-0028,0.3333333333333333,0.0
CXR681_IM-2252-0001,0.4,0.0
CXR721_IM-2282,0.8,0.0
CXR1914_IM-0595,0.75,0.0
CXR628_IM-2208,0.125,0.0
CXR368_IM-1832,1.0,0.0
CXR2843_IM-1254-1001,0.4,0.0
CXR383_IM-1932,0.6666666666666666,0.0
CXR1393_IM-0251,0.42857142857142855,0.0
CXR3816_IM-1925,0.42857142857142855,0.0
CXR3522_IM-1720,0.6,0.0
CXR1739_IM-0487,0.3,0.0
CXR659_IM-2235,0.3333333333333333,0.0
CXR3578_IM-1758,0.6666666666666666,0.0
CXR2130_IM-0755,0.14285714285714285,0.0
CXR3609_IM-1782,0.5,0.0
CXR1523_IM-0339,1.0,0.0
CXR2138_IM-0760,0.3333333333333333,0.0
CXR261_IM-1100,1.0,0.0
CXR1640_IM-0420,0.75,0.0
CXR1919_IM-0598,0.4,0.0
CXR421_IM-2064,0.6666666666666666,0.0
CXR1853_IM-0555,0.8,0.0
CXR97_IM-2460,0.75,0.0
CXR2787_IM-1222,0.6666666666666666,0.0
CXR2608_IM-1098,0.25,0.0
CXR2108_IM-0738,0.5,0.0
CXR3846_IM-1946,0.2857142857142857,0.0
CXR450_IM-2082,1.0,0.0
CXR3173_IM-1495,0.8,0.0
CXR1681_IM-0448,0.6666666666666666,0.0
CXR352_IM-1718,0.7142857142857143,0.0
CXR3519_IM-1717,0.3333333333333333,0.0
CXR3589_IM-1767,0.5714285714285714,0.0
CXR1685_IM-0449,0.3333333333333333,0.0
CXR3180_IM-1500,1.0,0.0
CXR2733_IM-1189,0.75,0.0
CXR699_IM-2263,0.0,0.0
CXR3849_IM-1947,0.75,0.0
CXR2616_IM-1106,0.16666666666666666,0.0
CXR745_IM-2299,0.3333333333333333,0.0
CXR1011_IM-0013,0.6,0.0
CXR2052_IM-0690,0.6666666666666666,0.0
CXR2529_IM-1044,0.8,0.0
CXR2074_IM-0708,0.125,0.0
CXR3294_IM-1573,0.42857142857142855,0.0
CXR543_IM-2148,0.5,0.0
CXR3000_IM-1386-0001,0.2857142857142857,0.0
CXR2259_IM-0850,0.2857142857142857,0.0
CXR1180_IM-0123,0.42857142857142855,0.0
CXR106_IM-0042,0.8,0.0
CXR2243_IM-0840,0.6666666666666666,0.0
CXR76_IM-2309,0.8,0.0
CXR3570_IM-1754,0.8,0.0
CXR3139_IM-1476,1.0,0.0
CXR1273_IM-0183,0.5,0.0
CXR3449_IM-1672,0.5,0.0
CXR3384_IM-1631,0.6,0.0
CXR622_IM-2204,1.0,0.0
CXR1873_IM-0565,0.8333333333333334,0.0
CXR3411_IM-1649-0001,0.5,0.0
CXR1472_IM-0305,0.75,0.0
CXR260_IM-1090,0.42857142857142855,0.0
CXR1526_IM-0341,0.6666666666666666,0.0
CXR145_IM-0290,0.0,0.0
CXR93_IM-2428,0.6666666666666666,0.0
CXR429_IM-2070,0.8333333333333334,0.0
CXR13_IM-0198,0.6,0.0
CXR1113_IM-0078,0.42857142857142855,0.0
CXR3423_IM-1656,0.3333333333333333,0.0
CXR3878_IM-1968,0.0,0.0
CXR3422_IM-1656,0.6,0.0
CXR1429_IM-0275,1.0,0.0
CXR107_IM-0049,0.8,0.0
CXR753_IM-2306,0.8,0.0
CXR2924_IM-1327,0.42857142857142855,0.0
CXR950_IM-2446,0.6666666666666666,0.0
CXR3430_IM-1659,0.4,0.0
CXR3772_IM-1891,0.42857142857142855,0.0
CXR290_IM-1303,0.3333333333333333,0.0
CXR458_IM-2089,0.75,0.0
CXR2_IM-0652,0.2,0.0
CXR64_IM-2218,0.75,0.0
CXR2612_IM-1103,1.0,0.0
CXR1004_IM-0005,0.2857142857142857,0.0
CXR226_IM-0851,0.75,0.0
CXR1708_IM-0466,0.5,0.0
CXR2312_IM-0887,1.0,0.0
CXR49_IM-2110,0.375,0.0
